theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,9.794718254359104925e-01,2.662251085654689930e-01,2.320182197192386386e-01
4.365753092408440672e+00,8.338945605400239769e-01,1.784340042561255446e-01,1.323999671060573924e-01
7.858355566335192499e+00,1.533595555942261823e+00,4.454364585671568566e-01,3.512332842722611925e-01
1.135095804026194699e+01,1.397886000974113418e+00,5.102404357398131474e-01,3.823302027039585660e-01
1.484356051418869527e+01,9.002337391448560489e-01,1.626547468621679648e-01,1.757927415681668215e-01
1.833616298811545064e+01,8.200240274277748043e-01,1.658487646783060043e-01,1.448029651923914418e-01
2.182876546204220247e+01,9.304515072089351024e-01,2.138067825262551791e-01,1.414380139828278482e-01
2.532136793596895785e+01,6.372350332104183002e-01,2.194349316159716068e-01,2.009282456268008943e-01
2.881397040989570257e+01,6.806343370927534497e-01,2.596435761222694039e-01,2.099243179459663322e-01
3.230657288382246151e+01,6.670946694705922608e-01,1.837001885572965842e-01,1.216775598965724736e-01
