theta (rad),S_y/S,yerror
0.000000000000000000e+00,-8.577595859796442734e-02,3.249156420664064265e-02
3.077478517802246794e-01,-2.045352734729486144e-01,1.737803097180129139e-02
6.154957035604493587e-01,-4.216598067665868754e-01,1.747166051183383223e-02
9.232435553406739270e-01,-4.493881796210838497e-01,1.186396221318888194e-02
1.230991407120898717e+00,-2.840599536062320962e-01,9.508294050483595203e-03
1.538739258901123286e+00,-0.000000000000000000e+00,2.297718204946202353e-02
1.846487110681347854e+00,3.198666713081024793e-01,2.653844000407419926e-02
2.154234962461572422e+00,3.231834510054141241e-01,2.555557195485995761e-02
2.461982814241797435e+00,4.103080336675659634e-01,2.054289151533112215e-02
2.769730666022021559e+00,2.276400175954049476e-01,1.289266140271329341e-03
3.077478517802246571e+00,9.638918070449986608e-02,1.133906626173214124e-02
