theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,1.134997836102836555e+00,2.043164298661983569e-01,2.090202450702847159e-01
4.365753092408440672e+00,1.042138031360329675e+00,2.050440437720427722e-01,1.672650017763106511e-01
7.858355566335192499e+00,4.828033254100067007e-01,9.859382234705543757e-02,7.067567100490013132e-02
1.135095804026194699e+01,8.353876847245342852e-01,2.277689236427293817e-01,1.745842673276905010e-01
1.484356051418869527e+01,7.787934755432044387e-01,1.459310820044391610e-01,1.021323615333609158e-01
1.833616298811545064e+01,6.904020265685569813e-01,1.171666054289357550e-01,9.947481159669768758e-02
2.182876546204220247e+01,5.888635456575240790e-01,1.022439710829534110e-01,6.428727752557705788e-02
2.532136793596895785e+01,4.893320342512575416e-01,8.005945454534035832e-02,5.881542806447354055e-02
2.881397040989570257e+01,7.033213105394416909e-01,1.408249846918999681e-01,1.040957980815465644e-01
3.230657288382246151e+01,6.694986136255564046e-01,1.232928050894477323e-01,9.575488485318517373e-02
