theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,6.054801937418852198e-01,1.022273394609342079e-01,1.120735467878518632e-01
4.365753092408440672e+00,4.512270952071472108e-01,6.711662825311526248e-02,4.723242241427572097e-02
7.858355566335192499e+00,3.391302580520084708e-01,6.854551332828329180e-02,5.676415976138937669e-02
1.135095804026194699e+01,2.906022898738688798e-01,5.878652743789231083e-02,5.256182297625294764e-02
1.484356051418869527e+01,2.946602867737285747e-01,5.905585414273606393e-02,4.357961673500443389e-02
1.833616298811545064e+01,2.926910828897310579e-01,5.423390108138873011e-02,5.146062874458717795e-02
2.182876546204220247e+01,5.430066574041659822e-01,9.582764514736169525e-02,8.900980674034408846e-02
2.532136793596895785e+01,3.634001841544679534e-01,6.048362364283210724e-02,4.379345721448940632e-02
2.881397040989570257e+01,6.109319078225425859e-01,9.896763363889748977e-02,8.099036338699916460e-02
3.230657288382246151e+01,8.013934451838250483e-01,1.574282786249814325e-01,1.618866368363373054e-01
