theta (deg),xi^2_R,yerror (lower), yerror (upper)
8.731506184816879568e-01,9.688173568145729275e-01,2.106562724801498421e-01,1.436274212798968053e-01
4.365753092408439784e+00,8.814445715132639414e-01,2.419726767402194945e-01,1.630723963890503558e-01
7.858355566335191611e+00,8.848162662429388536e-01,2.495969714973333975e-01,2.354963273299692794e-01
1.135095804026194521e+01,6.801262521984657861e-01,2.627177671364251399e-01,2.154199353903443193e-01
1.484356051418869349e+01,4.330426382639697147e-01,1.209444533606001126e-01,9.406832827720057466e-02
1.833616298811545064e+01,4.134587635686349794e-01,8.860329043083936540e-02,6.311737505281955762e-02
2.182876546204220247e+01,2.684086967691883263e-01,6.397190538267791271e-02,4.322908683906784288e-02
2.532136793596895430e+01,5.884519068812471554e-01,1.776135073817710075e-01,1.352872321318333571e-01
2.881397040989570257e+01,6.431094933075052200e-01,1.731411743249340884e-01,1.329779179280992096e-01
3.230657288382246151e+01,6.979506788592707567e-01,1.482813685146632254e-01,1.096365783775492542e-01
