theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,1.009925174472332987e+00,2.028388149821797048e-01,1.402004253097197672e-01
4.365753092408440672e+00,1.244650069036130180e+00,2.290302252771849734e-01,1.314072948603706159e-01
7.858355566335192499e+00,7.737407280444513757e-01,1.414400042758832132e-01,1.283030793632284894e-01
1.135095804026194699e+01,5.049284773912279256e-01,8.065835841876567436e-02,8.068954891272772656e-02
1.484356051418869527e+01,5.145988441426309068e-01,9.567540391624307361e-02,8.163246212126584744e-02
1.833616298811545064e+01,5.685221435528852174e-01,8.673264476382108734e-02,7.321816461144514676e-02
2.182876546204220247e+01,6.175547577079082417e-01,1.231546187418559035e-01,9.558052407135253503e-02
2.532136793596895785e+01,4.937747382361380444e-01,1.099377329166084105e-01,1.033275155895145847e-01
2.881397040989570257e+01,5.254843358273971754e-01,1.049488264801454185e-01,7.637869928096285843e-02
3.230657288382246151e+01,7.510283596915052762e-01,1.376315746221528080e-01,1.166209144623588934e-01
