theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,1.085635414635946594e+00,2.525719266045324263e-01,1.772483277885184005e-01
4.365753092408440672e+00,5.807335314542459992e-01,1.429296667699256340e-01,9.525719035798652090e-02
7.858355566335192499e+00,7.827160696790537164e-01,1.942341092045841711e-01,1.698941997664348280e-01
1.135095804026194699e+01,3.614404118217433570e-01,7.809840358158298690e-02,5.921186581475063049e-02
1.484356051418869527e+01,4.756847925662891496e-01,1.138570711508190558e-01,8.428925159575950676e-02
1.833616298811545064e+01,3.822248852502654337e-01,1.157755766357346783e-01,9.336821037582265781e-02
2.182876546204220247e+01,5.027589868862383238e-01,1.281348960213006261e-01,9.447155535936024862e-02
2.532136793596895785e+01,5.573323168442528841e-01,1.586964741667075129e-01,1.034547027007713949e-01
2.881397040989570257e+01,4.580768138564625946e-01,1.247633782685050319e-01,1.002547814176657504e-01
3.230657288382246151e+01,7.387097125283449417e-01,2.372351601722277881e-01,1.504075751751484669e-01
