theta (deg),xi^2_R,yerror (lower), yerror (upper)
8.731506184816879568e-01,2.379841632826574571e+00,4.921746071081187779e-01,3.640637163300128876e-01
4.365753092408439784e+00,2.932959913728538481e+00,5.630150143972798560e-01,3.490666459931852650e-01
7.858355566335191611e+00,1.823283985940658214e+00,3.575376481096941284e-01,3.218362183530441012e-01
1.135095804026194521e+01,1.189840438152475643e+00,1.951404468547915938e-01,2.083712088422138287e-01
1.484356051418869349e+01,1.212628206970809197e+00,2.322840532180479034e-01,2.274226697117209817e-01
1.833616298811545064e+01,1.339695950363724686e+00,2.195625821070568140e-01,1.870046090021881824e-01
2.182876546204220247e+01,1.455239021753556905e+00,3.069223089251544856e-01,2.679933244153407390e-01
2.532136793596895430e+01,1.163557171358141407e+00,2.549487946029590502e-01,2.515420160740409194e-01
2.881397040989570257e+01,1.238279361095895315e+00,2.411090777722292300e-01,2.045336539066970882e-01
3.230657288382246151e+01,1.769763347825388911e+00,3.561122498894311317e-01,2.825776603285772293e-01
