theta (rad),S_y/S,yerror
1.578689775673262741e+00,1.090036686070354754e-01,1.350538624406054655e-01
1.594476673429995328e+00,4.624031211551478115e-01,6.254608900028438279e-02
1.610263571186728138e+00,4.190040387251601772e-01,1.252022719328396150e-01
1.626050468943460503e+00,4.907415282277458601e-01,3.134371896626448467e-02
1.641837366700193090e+00,3.018583923069638741e-01,9.160414107107550663e-02
1.657624264456925678e+00,4.234138819884193383e-01,1.175857772649376437e-01
1.673411162213658487e+00,3.899486993897982590e-01,8.925499415436295714e-02
1.689198059970391075e+00,2.661160075050230667e-01,1.572709852029368083e-01
1.704984957727123884e+00,2.141270101506261569e-01,1.168272179602485028e-01
1.720771855483856250e+00,-1.049505157445381615e-01,1.203927897758618609e-01
1.736558753240588837e+00,-2.537381457612213342e-01,9.900630846529447082e-02
1.752345650997321425e+00,-2.439006934998854126e-01,1.021177439528109104e-01
1.768132548754054234e+00,-2.890956822072090482e-01,7.962279498508596787e-02
1.783919446510787044e+00,-2.999830201931483753e-01,9.435315682457630360e-02
1.799706344267519631e+00,-1.408239070116240332e-01,9.030485809546773268e-02
1.815493242024251774e+00,-9.134280849831130644e-02,1.592996425471222555e-01
1.831280139780984584e+00,2.450082316141769800e-01,8.024224986625701217e-02
1.847067037537717171e+00,3.033033083430055621e-01,5.407112113317032870e-02
1.862853935294449981e+00,3.838209128447920837e-01,4.817703395020036389e-02
1.878640833051182790e+00,3.676275442378682534e-01,8.702868176927219812e-02
1.894427730807914934e+00,2.794261207016346948e-01,1.312240544989477509e-01
1.910214628564647743e+00,7.230501954723797531e-02,1.145945398697256062e-01
1.926001526321380330e+00,-8.792930622933745055e-02,8.263301583862193989e-02
1.941788424078112918e+00,-3.055706207283674369e-01,7.094971479976319717e-02
1.957575321834845949e+00,-8.031530324564399581e-02,6.273438222800085950e-02
1.973362219591578537e+00,-2.452019773103412126e-01,5.905114777085146427e-02
1.989149117348310680e+00,-1.084566931601645134e-01,1.099335902729767639e-01
2.004936015105043712e+00,2.359504673389496432e-01,9.230424626071045968e-02
2.020722912861776077e+00,1.471152359790872666e-01,8.400685971790748663e-02
2.036509810618508887e+00,1.479409971236391175e-01,1.054231452524193730e-01
2.052296708375241696e+00,1.310231442708769123e-01,8.005195729087344336e-02
2.068083606131974062e+00,1.746308082523258254e-01,9.039061112821021593e-02
2.083870503888706871e+00,-3.066342998739989001e-02,6.667171712969857666e-02
2.099657401645439236e+00,6.075538131335350700e-02,1.152364764234495714e-01
2.115444299402172046e+00,-2.512076732920254796e-01,3.904677891079350038e-02
2.131231197158904855e+00,-1.125678420671843843e-01,6.657066355116832146e-02
2.147018094915637221e+00,-1.168116931230911426e-01,6.689246477450933037e-02
2.162804992672369586e+00,-8.342480918251350686e-02,6.846065471123775892e-02
2.178591890429102396e+00,4.101084443616127839e-02,5.731305787086556774e-02
2.194378788185835205e+00,1.403534065097049588e-01,6.241845089706923866e-02
2.210165685942568015e+00,6.855686001844474298e-02,7.389931494350962526e-02
2.225952583699300380e+00,1.662643333498942944e-01,7.154862744018360143e-02
2.241739481456033189e+00,9.702201848446775911e-02,6.703862304372709691e-02
2.257526379212765999e+00,-2.409471355841281970e-02,9.254855433862850533e-02
2.273313276969498364e+00,-6.136621419120431159e-02,8.226878516861931001e-02
2.289100174726230730e+00,-2.654089374795652947e-02,6.495221125090362702e-02
2.304887072482963539e+00,-7.077747882902646337e-02,4.098864018723736430e-02
2.320673970239695905e+00,-7.839873560857267554e-02,2.911763009847207623e-02
2.336460867996429158e+00,-2.069316851843428992e-02,8.947185846589610081e-02
2.352247765753161524e+00,-1.231436342965385039e-01,5.448192169917336763e-02
2.368034663509893889e+00,1.211499835052586571e-01,4.483364083135641526e-02
2.383821561266626698e+00,7.264394692372554141e-02,7.147414324939374564e-02
2.399608459023359064e+00,7.489310355469044889e-02,3.242091614081044765e-02
2.415395356780091873e+00,1.407760691624225791e-01,5.789008922146723218e-02
2.431182254536824683e+00,1.673570768956245403e-01,4.413737459141986452e-02
2.446969152293557492e+00,1.284013496776202634e-02,4.860830844675241569e-02
2.462756050050289414e+00,4.566981687605661117e-03,5.210305554092809627e-02
2.478542947807022223e+00,-2.063174146287825514e-02,4.583164471562693049e-02
2.494329845563755033e+00,-1.067734959864105326e-01,4.534831302616357251e-02
2.510116743320487842e+00,-1.114441733766961401e-01,3.096013529774426301e-02
2.525903641077220652e+00,-9.908220118855419478e-02,3.297543295103525646e-02
2.541690538833952573e+00,-4.526388392598658383e-02,3.290438057405731948e-02
2.557477436590685382e+00,-6.600487482635096319e-03,4.051204426499956102e-02
2.573264334347418192e+00,4.539229738390807706e-02,3.971609324165330246e-02
2.589051232104150557e+00,9.374498069482924134e-02,4.868927813373527536e-02
2.604838129860883367e+00,1.142156452828623353e-01,4.074865636838580912e-02
2.620625027617615732e+00,1.675042027463300165e-01,2.931522411647774495e-02
2.636411925374348986e+00,7.742589979616114337e-02,2.469388213061381523e-02
2.652198823131081351e+00,1.334723610352193390e-01,2.347697372640552768e-02
2.667985720887813716e+00,8.370830147255096942e-02,3.506390005872964122e-02
2.683772618644546526e+00,1.835725843625359704e-02,3.132772259640617674e-02
2.699559516401278447e+00,1.063662618764265461e-02,4.032597121897719961e-02
2.715346414158011701e+00,-1.223553723802703677e-02,2.848892948545040868e-02
2.731133311914744066e+00,-1.915307825708174871e-02,2.961975813122864551e-02
2.746920209671477320e+00,-2.192529306612674145e-02,1.605360868089612814e-02
2.762707107428210129e+00,-2.741036990175538864e-03,4.497953188469563934e-02
2.778494005184942495e+00,4.500774645542393766e-03,2.569476826693187221e-02
2.794280902941674860e+00,-8.849921772179534032e-03,2.181383679339533518e-02
2.810067800698407670e+00,4.246798630910242345e-02,1.810073810923068863e-02
2.825854698455140035e+00,4.743503462065869897e-02,1.813216552961197103e-02
2.841641596211872400e+00,4.217408360337338014e-02,2.123523877145478897e-02
2.857428493968605654e+00,6.611370790064374781e-02,2.966250097907051006e-02
2.873215391725338019e+00,5.817323042150728679e-02,1.559420558320470315e-02
2.889002289482070829e+00,5.906367100861774355e-02,1.983258663720128059e-02
2.904789187238803194e+00,4.752054348730556238e-02,1.610966958472927896e-02
2.920576084995535560e+00,5.747576045380924092e-02,1.823456924256590048e-02
2.936362982752268369e+00,5.243705673711561432e-02,2.431719355610501010e-02
2.952149880509000734e+00,1.040823075738718170e-02,1.804877363114295100e-02
2.967936778265733988e+00,7.646854179170526310e-03,1.964195895648656112e-02
2.983723676022466353e+00,2.616431334215472970e-02,1.008989547996481419e-02
2.999510573779199163e+00,-8.196891656343385443e-03,1.413261638637057678e-02
3.015297471535931528e+00,-3.898861843084681597e-04,1.280343073704582647e-02
3.031084369292663894e+00,-4.842769993638642960e-03,1.619069075696399213e-02
3.046871267049397147e+00,1.486142538352541731e-02,9.916775619112583318e-03
3.062658164806129513e+00,3.770031778448822406e-03,1.305345594496108708e-02
3.078445062562862322e+00,2.633970145315185467e-03,9.455152506345709806e-03
3.094231960319594688e+00,1.363014152294735916e-02,1.302306941341881651e-02
3.110018858076327053e+00,1.153595460492963173e-02,1.061752503778433561e-02
3.125805755833059862e+00,2.626512372671420403e-02,9.084623109946524111e-03
3.141592653589793116e+00,-6.725027451348425606e-04,1.369482667184224178e-02
