theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,7.704640273068019685e-01,1.288112366334154268e-01,1.010859224814849577e-01
4.365753092408440672e+00,5.712046365719245511e-01,1.104535096236092251e-01,9.691417950297220862e-02
7.858355566335192499e+00,6.965458023179668112e-01,1.332021879607001580e-01,1.187011077516557656e-01
1.135095804026194699e+01,7.140688843798506102e-01,1.423298015332653543e-01,1.337017814132046567e-01
1.484356051418869527e+01,4.723439358406157917e-01,9.549202406079154715e-02,8.759385295749150258e-02
1.833616298811545064e+01,5.168193986934518369e-01,7.221067547426945898e-02,6.249114770994801393e-02
2.182876546204220247e+01,4.226774113659984566e-01,7.971973529880466147e-02,7.926598678354490612e-02
2.532136793596895785e+01,5.680665298666901508e-01,9.283912875624994454e-02,8.806831980638840651e-02
2.881397040989570257e+01,4.863618857337571599e-01,8.007833683890869247e-02,7.777207539320918350e-02
3.230657288382246151e+01,4.271484970817547300e-01,9.702586997676998504e-02,6.790795969786411757e-02
