tau (s),Contrast,yerror (lower), yerror (upper)
1.333333000000000157e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.666666333333332917e-01,1.000000000000000000e+00,1.153698356858412488e-02,0.000000000000000000e+00
3.999999666666665954e-01,9.966983348516091912e-01,1.026673733896665830e-02,3.301665148390808824e-03
5.333333000000000101e-01,9.890449226843660568e-01,1.219869715512966746e-02,1.095507731563394316e-02
