Wait time (s),Contrast,yerror (lower), yerror (upper)
5.000000000000000278e-02,9.170250782896313124e-01,4.927101248219156737e-03,5.386509380908455213e-03
4.499999999999999556e-01,7.895631813644892194e-01,1.993974454158642384e-02,2.099501841431217208e-02
8.499999999999999778e-01,7.473337787431069135e-01,3.134147645504958835e-02,3.295002646387634737e-02
1.249999999999999778e+00,6.983859174433413308e-01,4.362334986168370232e-02,3.076733029533385011e-02
1.649999999999999911e+00,6.473295927633594404e-01,2.896891348438401792e-02,3.114334960920073225e-02
