0,1,2,3,4,5,6,7,8
1.319740394967145250e-02,3.048571815290309489e-02,3.159908598979972033e-02,3.058050546022058128e-02,3.187196592191867545e-02,3.058050546022056393e-02,3.159908598979972033e-02,3.048571815290309489e-02,1.319740394967145250e-02
3.048571815290309489e-02,3.707276768110413789e-02,4.345552895208514704e-02,5.637925741947334701e-02,3.480164792342832492e-02,5.637925741947333313e-02,4.345552895208514704e-02,3.707276768110412402e-02,3.048571815290309489e-02
3.159908598979972033e-02,4.345552895208514704e-02,5.336536920083163882e-02,5.995028441572755606e-02,7.247193366241720669e-02,5.995028441572754913e-02,5.336536920083163882e-02,4.345552895208514704e-02,3.159908598979972033e-02
3.058050546022058128e-02,5.637925741947334701e-02,5.995028441572755606e-02,8.897387854251856409e-02,9.387634679405952587e-02,8.897387854251856409e-02,5.995028441572754913e-02,5.637925741947334701e-02,3.058050546022056393e-02
3.187196592191867545e-02,3.480164792342832492e-02,7.247193366241720669e-02,9.387634679405952587e-02,0.000000000000000000e+00,9.387634679405952587e-02,7.247193366241720669e-02,3.480164792342833185e-02,3.187196592191867545e-02
3.058050546022056393e-02,5.637925741947333313e-02,5.995028441572754913e-02,8.897387854251856409e-02,9.387634679405952587e-02,8.897387854251856409e-02,5.995028441572754913e-02,5.637925741947334701e-02,3.058050546022056393e-02
3.159908598979972033e-02,4.345552895208514704e-02,5.336536920083163882e-02,5.995028441572754913e-02,7.247193366241720669e-02,5.995028441572754913e-02,5.336536920083165270e-02,4.345552895208514704e-02,3.159908598979972727e-02
3.048571815290309489e-02,3.707276768110412402e-02,4.345552895208514704e-02,5.637925741947334701e-02,3.480164792342833185e-02,5.637925741947334701e-02,4.345552895208514704e-02,3.707276768110413789e-02,3.048571815290308795e-02
1.319740394967145250e-02,3.048571815290309489e-02,3.159908598979972033e-02,3.058050546022056393e-02,3.187196592191867545e-02,3.058050546022056393e-02,3.159908598979972727e-02,3.048571815290308795e-02,1.319740394967145250e-02
