theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,1.022226692604800258e+00,4.116244067185806932e-01,3.643305222568375967e-01
4.365753092408440672e+00,9.185579597185213885e-01,2.272311448171565607e-01,1.545867891063255062e-01
7.858355566335192499e+00,6.510901223122333992e-01,1.427263534257170452e-01,1.203370741982195957e-01
1.135095804026194699e+01,1.204319255688276913e+00,2.641073636941120295e-01,2.217905763695511290e-01
1.484356051418869527e+01,7.350230710013487823e-01,1.539025452817771589e-01,1.003916676885635573e-01
1.833616298811545064e+01,5.038199558904181696e-01,7.858191294199334820e-02,6.189766619817527182e-02
2.182876546204220247e+01,5.432665475122229193e-01,9.718888341772968786e-02,7.138762002619492009e-02
2.532136793596895785e+01,3.203727830950798827e-01,8.879454059762847962e-02,7.894665086192481640e-02
2.881397040989570257e+01,6.357940594754619701e-01,2.009646862970868031e-01,1.469122175375130457e-01
3.230657288382246151e+01,3.404994116948279470e-01,8.627063893376302195e-02,6.111259291640064317e-02
