tau (sec),Contrast,yerror (lower), yerror (upper)
1.333333000000000157e-01,8.537925744738543710e-01,1.036570443385198548e-02,1.155384153734939634e-02
2.666666333333332917e-01,8.137430187899941103e-01,1.879935066975346736e-02,1.849063281004681425e-02
3.999999666666665954e-01,7.715321107724260052e-01,2.548741877848226256e-02,2.778719930947115557e-02
5.333333000000000101e-01,6.841841976407641024e-01,4.230052033364073427e-02,3.938261607900850336e-02
