Wait time (s),Contrast,yerror (lower), yerror (upper)
1.333333000000000157e-01,9.368517407120189322e-01,1.169422859871038778e-02,1.324121440803083249e-02
2.666666333333332917e-01,8.290149000588262762e-01,1.478178813695152360e-02,1.628196219004629519e-02
3.999999666666665954e-01,7.477388379483809189e-01,2.084542421277979507e-02,2.071536116422667551e-02
5.333333000000000101e-01,6.514342225456717372e-01,2.304929242220166152e-02,1.894176908686628913e-02
