theta (deg),xi^2,yerror (lower), yerror (upper)
0.000000000000000000e+00,2.614267254860010437e-01,7.227008974709778211e-02,5.747051023775667788e-02
4.487710843373494463e+00,4.444258271396853144e-01,1.317951710787326758e-01,8.837592049541348471e-02
8.975421686746988925e+00,8.002425483121148320e-01,1.807764376295334374e-01,1.262001416960332190e-01
1.346313253012048250e+01,1.391745157650610354e+00,3.896528029821837436e-01,3.238940758659094588e-01
1.795084337349397785e+01,3.199409058494647518e+00,9.769675860143007817e-01,5.905915781123569630e-01
2.243855421686746965e+01,3.563237216411504260e+00,1.045803030470633832e+00,8.570906141466827499e-01
2.692626506024096500e+01,2.574753941245101263e+00,7.984280379777117798e-01,5.768127430489577989e-01
3.141397590361445680e+01,6.494948366148107333e+00,2.430425489559989494e+00,1.546131705711919047e+00
3.590168674698795570e+01,9.933808061839835446e+00,2.230602288919884657e+00,2.103157833895833662e+00
4.038939759036144039e+01,1.013309351870698016e+01,2.854860341149647596e+00,2.144283297493663198e+00
4.487710843373493930e+01,2.099649467485920340e+01,5.291045440976745340e+00,4.541902096657437937e+00
4.936481927710844531e+01,1.517743218683586193e+01,4.494858353891986624e+00,4.245593672745791025e+00
5.385253012048193000e+01,7.341874444017085999e+00,2.236780292079399324e+00,1.715463007139176987e+00
5.834024096385543601e+01,2.514784114113851032e+01,8.681197546994958714e+00,6.259598262550376546e+00
6.282795180722891359e+01,1.772962127058798742e+01,4.493277239049941585e+00,3.486255598476518003e+00
6.731566265060241960e+01,3.074919323884891043e+01,1.176354011635383756e+01,8.990789173623497277e+00
7.180337349397591140e+01,4.306192790502014134e+01,1.338474278727276356e+01,7.648509809903011103e+00
7.629108433734941741e+01,2.267424943040897745e+01,5.995920438915529616e+00,3.610691236261942549e+00
8.077879518072288079e+01,3.149644932097276850e+01,1.170762959181829288e+01,9.430737181650098222e+00
8.526650602409638680e+01,2.805046891371486950e+01,1.089342297010422200e+01,9.206206861388157137e+00
8.975421686746987859e+01,3.035087673055457813e+01,1.173004940501292381e+01,8.437392128692199122e+00
