bins (including the leftmost edge of the first bin and rightmost bin of the last bin),counts (padded with a 0 at the end)
-5.824247030753509913e-01,2.000000000000000000e+00
-2.956925415613320673e-01,4.000000000000000000e+00
-8.960380047313143415e-03,6.000000000000000000e+00
2.777717814667057805e-01,6.000000000000000000e+00
5.645039429807247044e-01,5.000000000000000000e+00
8.512361044947436284e-01,0.000000000000000000e+00
