theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,1.006491532878614370e+00,1.830590033560697272e-01,1.826806855839113730e-01
4.365753092408440672e+00,9.912682322545743885e-01,2.133773698768594018e-01,1.653721067368992825e-01
7.858355566335192499e+00,1.059318834228340167e+00,2.194086412504080430e-01,1.969156585808577997e-01
1.135095804026194699e+01,7.323815435591133349e-01,1.918413270296314144e-01,1.783060904775056743e-01
1.484356051418869527e+01,8.642348941446793553e-01,1.711492853342069242e-01,1.374501415657762848e-01
1.833616298811545064e+01,6.002467672037689050e-01,1.057038764578110968e-01,7.861960340954576854e-02
2.182876546204220247e+01,6.375878717439136256e-01,1.053690784443350736e-01,7.162914802451902929e-02
2.532136793596895785e+01,6.080168131949070798e-01,1.004287500218471463e-01,1.083092576551716313e-01
2.881397040989570257e+01,4.637296077834724972e-01,1.165142594898092021e-01,8.768103752033240550e-02
3.230657288382246151e+01,5.098201918321758619e-01,8.372055440061454412e-02,5.885359235395193345e-02
