theta (deg),xi^2,yerror (lower), yerror (upper)
0.000000000000000000e+00,4.661125301440617874e-01,1.508605331315669984e-01,1.179120689324629212e-01
4.487710843373494463e+00,2.050623564466782511e-01,7.021316723762191514e-02,5.810545622909535357e-02
8.975421686746988925e+00,1.503503625626899654e-01,3.869361903204311670e-02,2.846081350023174639e-02
1.346313253012048250e+01,3.348395529285066452e-01,1.048719329474847861e-01,6.774998803615633891e-02
1.795084337349397785e+01,1.407572286553379071e+00,2.977038910666565119e-01,1.811751298019643741e-01
2.243855421686746965e+01,1.818483146000755335e+00,7.003580367652417760e-01,5.309008256142802029e-01
2.692626506024096500e+01,3.821943882174964280e+00,1.026202402775655553e+00,6.841262731469228697e-01
3.141397590361445680e+01,3.534620735329054853e+00,1.192488099713027161e+00,1.034420606538865250e+00
3.590168674698795570e+01,4.478481766629277772e+00,1.330048669991339416e+00,7.928718411323956161e-01
4.038939759036144039e+01,9.636089127433390189e+00,2.849221374281396990e+00,2.289327818357376643e+00
4.487710843373493930e+01,8.880748489126007783e+00,2.976690019079138771e+00,2.078030903390047257e+00
4.936481927710844531e+01,1.120254437970453054e+01,3.190464655410149675e+00,1.922176592340777646e+00
5.385253012048193000e+01,1.442347505316060285e+01,4.303768722224607046e+00,3.060226336532769764e+00
5.834024096385543601e+01,1.252143610157992271e+01,4.003640394392355972e+00,3.081649529200648274e+00
6.282795180722891359e+01,2.077262236025854136e+01,5.293177521901512250e+00,3.864041867265143537e+00
6.731566265060241960e+01,1.669883270377377116e+01,4.544229075912040727e+00,3.837266686106104885e+00
7.180337349397591140e+01,1.886180441970549637e+01,4.488174115674334885e+00,3.323903101403161031e+00
7.629108433734941741e+01,1.469395960205786089e+01,4.465610382923127730e+00,2.887652004428078456e+00
8.077879518072288079e+01,2.360427912508314918e+01,7.825503672553946188e+00,5.804338220023549155e+00
8.526650602409638680e+01,2.839026348831079360e+01,8.134677783484761449e+00,5.075826871459533152e+00
8.975421686746987859e+01,3.386844867203128473e+01,8.436372932939168123e+00,5.604465347137598030e+00
