Wait time (s),Normalized polarization,yerror
0.000000000000000000e+00,4.081743379030622343e-01,9.075987177910244119e-02
8.975979010256551760e-01,1.691236936672277369e-01,1.630456001814876710e-01
1.795195802051310352e+00,-6.395976151588234071e-01,6.529035264057869714e-02
2.692793703076965528e+00,-5.986119495667862056e-01,7.616475493760856141e-02
3.590391604102620704e+00,-1.721789496248710138e-02,1.847984855829975515e-01
4.487989505128275880e+00,6.099386518985745465e-01,3.907163772891896619e-02
5.385587406153931056e+00,7.865493617117716996e-01,1.492965957040484105e-02
6.283185307179586232e+00,4.000101937121366968e-01,1.429865326205359277e-01
