Pi pulse time (ms),S_z/S,yerror
4.485000000000000098e-01,7.391878284334327809e-01,2.831184464710265539e-02
4.486999999999999877e-01,7.984616857206514595e-01,6.183901851689234223e-03
4.489000000000000212e-01,8.879119876280264778e-01,1.000460923134418798e-02
4.490999999999999992e-01,9.206146868072684342e-01,1.240347407618010329e-02
4.495000000000000107e-01,9.617754802546646387e-01,5.968814431180199422e-03
4.496999999999999886e-01,9.032426069648300526e-01,1.922697433952879481e-02
4.498999999999999666e-01,9.120101946695887696e-01,1.131486198014614811e-03
4.501000000000000001e-01,8.481262012262208438e-01,2.162777851328712142e-02
4.502999999999999781e-01,7.654677832478978816e-01,2.835395977891940963e-02
