theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,7.663365450939613188e-01,1.430393951289776755e-01,1.350500659613338428e-01
4.365753092408440672e+00,5.174462674575043275e-01,1.194590030325528018e-01,9.129915097525576062e-02
7.858355566335192499e+00,6.709334691800870054e-01,9.236461391823258538e-02,8.345831637735723341e-02
1.135095804026194699e+01,6.076315544510219047e-01,1.751332299509831825e-01,1.709771637684114332e-01
1.484356051418869527e+01,6.462418978928817781e-01,1.156589872619556703e-01,8.588689013808392669e-02
1.833616298811545064e+01,5.008466929739009421e-01,1.072980322317809709e-01,9.123488758835629486e-02
2.182876546204220247e+01,4.608919544581198124e-01,1.141859611090899063e-01,9.819461874912671639e-02
2.532136793596895785e+01,4.715762629504319792e-01,8.394880302736001942e-02,6.671176597518713169e-02
2.881397040989570257e+01,5.606087064010122356e-01,1.167996091692305449e-01,1.053275134416530312e-01
3.230657288382246151e+01,4.886748904488267264e-01,1.360936620960124244e-01,8.806994702181980550e-02
