tau (s),Contrast,yerror (lower), yerror (upper)
1.333333000000000157e-01,9.673041434412241735e-01,8.971339990936355591e-03,8.326249410819164254e-03
2.666666333333332917e-01,9.046372662227410988e-01,1.393002081494709721e-02,1.391812664259217680e-02
3.999999666666665954e-01,8.163009750424412569e-01,3.022816525113136699e-02,3.449827901752722248e-02
5.333333000000000101e-01,7.711007081511128680e-01,3.329005314592115017e-02,3.199695040005701152e-02
