theta (deg),xi^2,yerror (lower), yerror (upper)
0.000000000000000000e+00,6.019984502669083470e-01,1.830202709593751198e-01,1.322135648656490581e-01
4.487710843373494463e+00,5.817692033048351696e-01,1.923975988144370763e-01,1.359506857869764440e-01
8.975421686746988925e+00,3.343886957110812075e-01,8.994388192492352996e-02,6.099014014705295139e-02
1.346313253012048250e+01,2.798161218223398361e-01,7.145565584200033737e-02,4.075487340486039223e-02
1.795084337349397785e+01,2.786528950622375045e-01,8.437792543486488661e-02,6.265813275555115469e-02
2.243855421686746965e+01,4.590744156457688963e-01,1.405541337280195591e-01,9.860493379167734052e-02
2.692626506024096500e+01,4.444892863527635796e-01,1.331055506679331701e-01,1.064353234987893138e-01
3.141397590361445680e+01,1.108793281130504793e+00,3.695528897254809486e-01,2.687199209679855816e-01
3.590168674698795570e+01,1.633343940284020412e+00,6.047158770296199304e-01,5.419536348979536733e-01
4.038939759036144039e+01,1.452502345354973023e+00,5.462624342684007095e-01,4.085692131775988667e-01
4.487710843373493930e+01,3.289086294116572162e+00,7.972421523977275548e-01,4.422128240545384337e-01
4.936481927710844531e+01,3.109462759823281353e+00,1.096171860446067292e+00,9.994062353731143489e-01
5.385253012048193000e+01,2.265789083922758351e+00,5.605132461631583407e-01,3.320685380203420856e-01
5.834024096385543601e+01,6.250023859773225610e+00,1.678924583694977990e+00,7.907274033029469962e-01
6.282795180722891359e+01,3.637676934292694675e+00,1.241410388421830380e+00,8.329730484550044167e-01
6.731566265060241960e+01,5.927633560864855156e+00,2.131559543341175367e+00,1.500120941544007991e+00
7.180337349397591140e+01,7.618153088105961146e+00,2.005239689732234432e+00,1.829914510375585834e+00
7.629108433734941741e+01,6.259159202620330653e+00,2.880237977533269600e+00,1.965519758525753780e+00
8.077879518072288079e+01,4.543854449659774808e+00,8.496414205758409111e-01,5.681191561928216061e-01
8.526650602409638680e+01,8.369182035062877389e+00,1.527569691422931975e+00,1.180161656540898107e+00
8.975421686746987859e+01,8.682400814696995539e+00,3.300838186151362486e+00,2.475223109776493402e+00
