theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,9.414963289165105831e-01,1.953154635188830701e-01,1.587783928643480280e-01
4.365753092408440672e+00,6.995668267725759781e-01,1.653673580180846647e-01,1.149707826772204955e-01
7.858355566335192499e+00,6.224344388834660569e-01,1.119379913050748687e-01,1.055219198255517021e-01
1.135095804026194699e+01,8.140698941814989986e-01,1.148815239084507445e-01,1.034556989594346277e-01
1.484356051418869527e+01,6.112052012020904312e-01,9.562403537263564068e-02,9.399850595288095079e-02
1.833616298811545064e+01,5.955269888998517835e-01,9.437648588050795428e-02,6.873390830433911969e-02
2.182876546204220247e+01,7.071718967359320596e-01,1.491693745035542751e-01,1.127844285418617698e-01
2.532136793596895785e+01,5.890549639288104045e-01,1.107644956778359169e-01,8.176114238663489964e-02
2.881397040989570257e+01,5.222283874798545611e-01,8.650371964700115379e-02,6.891544735452903581e-02
3.230657288382246151e+01,4.978990155991395161e-01,8.677676442526266465e-02,6.495100301212908267e-02
