theta (deg),xi^2,yerror (lower), yerror (upper)
8.731506184816880678e-01,8.631995912761493139e-01,1.659484985743473473e-01,1.412963926457756481e-01
4.365753092408440672e+00,5.392724917019001696e-01,8.109771768398116309e-02,7.797563575071553288e-02
7.858355566335192499e+00,5.934060799679957698e-01,8.382759721921950735e-02,7.771972743589117272e-02
1.135095804026194699e+01,3.724154662352208711e-01,5.383876465566150848e-02,3.608671470222551969e-02
1.484356051418869527e+01,3.817069031963178927e-01,8.224227304082015744e-02,7.066300496717403679e-02
1.833616298811545064e+01,3.918194329492494798e-01,6.660046046785556006e-02,5.055048993282351688e-02
2.182876546204220247e+01,3.342759908169571359e-01,6.509743474205703651e-02,4.983153491977687644e-02
2.532136793596895785e+01,4.925321718429188644e-01,9.093667835062513305e-02,8.067664571858423894e-02
2.881397040989570257e+01,4.243453483181869879e-01,8.111029638286942900e-02,6.747728922649243177e-02
3.230657288382246151e+01,6.166768212250901549e-01,9.689947484389327403e-02,7.102296228935700562e-02
